Domain,FirstIndexed,LastIndexed,SalesRevenue,SpendDate,SpendSum,CompanyName,Vertical,State,Country,ARank,QRank

wisconsinlions.org,1043395200000,1689490800000,0,1054163460000,0,Wisconsin Lions,Business And Industrial,WI,US,14161546,-1
wisconsinlions.org,1043395200000,1689490800000,0,1458515460000,31,Wisconsin Lions,Business And Industrial,WI,US,14161546,-1
wisconsinlions.org,1043395200000,1689490800000,0,1582931460000,9,Wisconsin Lions,Business And Industrial,WI,US,14161546,-1
wisconsinlions.org,1043395200000,1689490800000,0,1588115460000,126,Wisconsin Lions,Business And Industrial,WI,US,14161546,-1
wisconsinlions.org,1043395200000,1689490800000,0,1614035460000,227,Wisconsin Lions,Business And Industrial,WI,US,14161546,-1
wisconsinlions.org,1043395200000,1689490800000,0,1619219460000,217,Wisconsin Lions,Business And Industrial,WI,US,14161546,-1
wisconsinlions.org,1043395200000,1689490800000,0,1689490800000,217,Wisconsin Lions,Business And Industrial,WI,US,14161546,-1
obrienmetal.com,1250751600000,1690614000000,0,1258082640000,0,O'Brien Metal Inc,Business And Industrial,IL,US,14205710,-1
obrienmetal.com,1250751600000,1690614000000,0,1480994640000,16,O'Brien Metal Inc,Business And Industrial,IL,US,14205710,-1
obrienmetal.com,1250751600000,1690614000000,0,1532834640000,219,O'Brien Metal Inc,Business And Industrial,IL,US,14205710,-1
obrienmetal.com,1250751600000,1690614000000,0,1574306640000,243,O'Brien Metal Inc,Business And Industrial,IL,US,14205710,-1
obrienmetal.com,1250751600000,1690614000000,0,1690614000000,0,O'Brien Metal Inc,Business And Industrial,IL,US,14205710,-1
richardgreenlyphoto.co.uk,1467241200000,1690614000000,0,1470964080000,0,,Unknown,UK,GB,20930457,-1
richardgreenlyphoto.co.uk,1467241200000,1690614000000,0,1690614000000,0,,Unknown,UK,GB,20930457,-1
royleemarketing.com,1377212400000,1688454000000,0,1382399760000,0,Roy Lee Marketing,Business And Industrial,,,100000001,-1
royleemarketing.com,1377212400000,1688454000000,0,1496447760000,31,Roy Lee Marketing,Business And Industrial,,,100000001,-1
royleemarketing.com,1377212400000,1688454000000,0,1688454000000,31,Roy Lee Marketing,Business And Industrial,,,100000001,-1
wineresourcesllc.com,1492470000000,1689231600000,400,1495749360000,0,,Food And Drink,CA,US,14729228,-1
wineresourcesllc.com,1492470000000,1689231600000,400,1526853360000,31,,Food And Drink,CA,US,14729228,-1
wineresourcesllc.com,1492470000000,1689231600000,400,1573509360000,51,,Food And Drink,CA,US,14729228,-1
wineresourcesllc.com,1492470000000,1689231600000,400,1609797360000,65,,Food And Drink,CA,US,14729228,-1
wineresourcesllc.com,1492470000000,1689231600000,400,1630533360000,20,,Food And Drink,CA,US,14729228,-1
wineresourcesllc.com,1492470000000,1689231600000,400,1689231600000,20,,Food And Drink,CA,US,14729228,-1
rokitdrinks.com,1558911600000,1689663600000,691,1561090800000,31,ROKiT Drinks,Food And Drink,CA,US,27128894,-1
rokitdrinks.com,1558911600000,1689663600000,691,1597378800000,0,ROKiT Drinks,Food And Drink,CA,US,27128894,-1
rokitdrinks.com,1558911600000,1689663600000,691,1602562800000,96,ROKiT Drinks,Food And Drink,CA,US,27128894,-1
rokitdrinks.com,1558911600000,1689663600000,691,1607746800000,193,ROKiT Drinks,Food And Drink,CA,US,27128894,-1
rokitdrinks.com,1558911600000,1689663600000,691,1680322800000,230,ROKiT Drinks,Food And Drink,CA,US,27128894,-1
rokitdrinks.com,1558911600000,1689663600000,691,1689663600000,230,ROKiT Drinks,Food And Drink,CA,US,27128894,-1
innsolgroup.com,1400310000000,1688972400000,0,1405121040000,0,Enter Text Innovative Solutions Group,Business And Industrial,NC,US,13230967,695988
innsolgroup.com,1400310000000,1688972400000,0,1581377040000,117,Enter Text Innovative Solutions Group,Business And Industrial,NC,US,13230967,695988
innsolgroup.com,1400310000000,1688972400000,0,1688972400000,117,Enter Text Innovative Solutions Group,Business And Industrial,NC,US,13230967,695988
noahsark.net,1037833200000,1690441200000,77681,1048710000000,0,,Food And Drink,NJ,US,2443410,-1
noahsark.net,1037833200000,1690441200000,77681,1339014000000,211,,Food And Drink,NJ,US,2443410,-1
noahsark.net,1037833200000,1690441200000,77681,1437510000000,5,,Food And Drink,NJ,US,2443410,-1
noahsark.net,1037833200000,1690441200000,77681,1473798000000,567,,Food And Drink,NJ,US,2443410,-1
noahsark.net,1037833200000,1690441200000,77681,1504902000000,939,,Food And Drink,NJ,US,2443410,-1
