Domain	SpendDate	SpendSum	SalesRevenue	ARank	QRank	Premium_yes	Total	STATUS
1732west.com	2023-07-15 07:00:00	0	0	100000001	-1	0.0	15.0	Rejected
2ndchancefororg.wordpress.com	2023-08-01 10:54:54	0	0	0	0	0.0	42.0	Rejected
4-6-2.com	2022-11-11 08:00:00	0	0	100000001	0	0.0	1.0	Rejected
4wardmiami.org	2023-07-16 07:00:00	0	0	16020656	-1	0.0	23.0	Accepted
6thanddetroit.com	2023-07-16 07:00:00	397	25292	18338107	-1	0.0	21.0	Accepted
828productions.com	2023-07-16 07:00:00	474	0	21383272	-1	2.0	43.0	Accepted
919usa.com	2023-07-29 07:00:00	0	0	11320841	-1	0.0	32.0	Accepted
abbotthospitalitygroup.com	2023-07-16 07:00:00	350	22379	100000001	-1	1.0	19.0	Accepted
ackermanphoto.com	2023-07-27 07:00:00	350	22379	6246210	-1	1.0	41.0	Accepted
actionmachineinc.com	2023-07-29 07:00:00	221	14935	23778130	-1	2.0	55.0	Accepted
adcomgrp.com	2023-07-16 07:00:00	0	0	100000001	-1	0.0	21.0	Accepted
advancedveincenter.com	2023-07-16 07:00:00	595	0	20495512	-1	3.0	44.0	Accepted
advancere.com	2023-07-29 07:00:00	31	16814	10141849	-1	1.0	45.0	Accepted
againfaster.com	2023-07-31 07:00:00	3708	229876	1575867	128924	12.0	64.0	Accepted
aksloan.com	2023-07-16 07:00:00	0	0	100000001	0	0.0	5.0	Accepted
aladdinsindiana.com	2023-07-16 07:00:00	101	0	22966235	-1	0.0	20.0	Accepted
alexpucher.com	2023-07-16 22:00:00	0	0	11008501	-1	1.0	16.0	Rejected
alpha1autosales.com	2023-07-17 07:00:00	498	0	100000001	0	2.0	31.0	Rejected
alphagammarho.org	2023-08-01 07:00:00	202	0	77407	400070	1.0	1.0	Accepted
alphier.com	2023-07-17 07:00:00	0	0	100000001	0	1.0	2.0	Rejected
altitudetrampolinepark.com	2023-07-31 07:00:00	2226	0	10210151	271988	4.0	33.0	Accepted
amazingsmarthomes.com	2023-07-17 07:00:00	0	0	100000001	-1	0.0	18.0	Accepted
americancheesecompany.com	2023-07-17 07:00:00	0	0	33042849	-1	1.0	28.0	Accepted
ampedlouisville.org	2023-07-18 07:00:00	36	0	10097792	-1	1.0	25.0	Accepted
amsllc.us	2023-07-17 07:00:00	0	0	100000001	0	0.0	5.0	Accepted
anactisis.com	2023-07-29 07:00:00	31	0	12824943	-1	1.0	45.0	Accepted
andersonrealtymn.com	2023-07-18 07:00:00	563	0	6618761	-1	3.0	35.0	Accepted
angeley.org	2023-07-17 07:00:00	0	0	100000001	-1	0.0	12.0	Rejected
apollochirony.com	2023-07-17 07:00:00	87	0	100000001	-1	0.0	1.0	Accepted
apostlethomas.org	2023-07-27 07:00:00	0	0	89786815	-1	1.0	16.0	Accepted
arcfabindustry.com	2023-07-19 07:00:00	0	0	100000001	0	0.0	17.0	Rejected
archfordcapital.com	2023-07-29 07:00:00	964	0	11305315	-1	4.0	66.0	Accepted
aresellerspassion.com	2023-08-08 01:08:00	0	18538	1865287	-1	1.0	11.0	Rejected
arjsauto.com	2023-07-31 07:00:00	338	0	17916341	-1	2.0	30.0	Accepted
artfactory.com	2023-07-30 07:00:00	40	45923	499586	105042	2.0	57.0	Rejected
asrpaintsprayersandiego.com	2023-07-22 07:00:00	0	0	83741376	-1	0.0	25.0	Accepted
atlasconcretesolutions.com	2023-09-06 08:47:00	0	0	61749660	-1	0.0	20.0	Accepted
atsewing.com	2023-07-29 07:00:00	350	22379	13014036	-1	1.0	27.0	Accepted
autorepaircenterville.com	2023-07-23 07:00:00	0	0	21983560	-1	1.0	20.0	Accepted
autumntransportation.com	2023-07-18 07:00:00	0	0	48176223	-1	0.0	15.0	Accepted
badassjv.com	2023-07-18 07:00:00	1090	0	7157072	-1	2.0	19.0	Accepted
bag-ish.com	2023-07-18 07:00:00	176	0	100000001	-1	1.0	15.0	Accepted
bahrslanding.com	2023-08-01 07:00:00	701	53438	1882036	-1	1.0	1.0	Accepted
baitulilm.org	2023-07-18 07:00:00	300	0	1204457	-1	1.0	21.0	Accepted
baldwinmemorial.org	2023-07-29 07:00:00	0	0	31047767	-1	0.0	23.0	Accepted
ballenstudios.com	2023-07-19 07:00:00	0	0	100000001	0	0.0	1.0	Accepted
ballet58.org	2023-07-29 07:00:00	1451	75089	13034686	-1	5.0	66.0	Rejected
bamsportscollectibles.com	2023-07-19 07:00:00	6	0	100000001	0	1.0	12.0	Accepted
banehaul.com	2023-07-19 07:00:00	0	0	83812956	0	0.0	7.0	Accepted
bardstownbourbon.com	2023-07-30 07:00:00	1102	0	89508	-1	6.0	101.0	Rejected
barkerapartments.com	2023-07-29 07:00:00	233	0	16104574	-1	1.0	32.0	Accepted
barnkatclothing.com	2023-07-19 07:00:00	600	39100	100000001	-1	1.0	32.0	Accepted
barnwoodgroup.com	2023-07-29 07:00:00	40	0	39287216	-1	3.0	41.0	Rejected
battlebank.com	2023-07-27 07:00:00	1949	0	32856013	-1	9.0	58.0	Accepted
baxteraerospace.com	2023-07-19 07:00:00	240	0	100000001	-1	1.0	35.0	Accepted
bceins.com	2023-06-12 07:00:00	34	0	100000001	0	0.0	6.0	Accepted
beachpoint.com	2023-07-19 07:00:00	607	39782	31877051	-1	1.0	40.0	Accepted
bebronzestudio.com	2023-07-19 07:00:00	432	27477	12836742	-1	3.0	42.0	Accepted
