LookupDomain,FirstIndexed,LastIndexed,SalesRevenue,SpendDate,SpendSum,CompanyName,Vertical,State,Country,ARank,QRank
aldautomotive.pl,1073635200000,1689490800000,0,1083899460000,0,ALD Automotive Polska Sp. z o.o,Automotive And Vehicles,,PL,17482943,-1
aldautomotive.pl,1073635200000,1689490800000,0,1410491460000,358,ALD Automotive Polska Sp. z o.o,Automotive And Vehicles,,PL,17482943,-1
aldautomotive.pl,1073635200000,1689490800000,0,1498619460000,1525,ALD Automotive Polska Sp. z o.o,Automotive And Vehicles,,PL,17482943,-1
aldautomotive.pl,1073635200000,1689490800000,0,1566011460000,1292,ALD Automotive Polska Sp. z o.o,Automotive And Vehicles,,PL,17482943,-1
aldautomotive.pl,1073635200000,1689490800000,0,1689490800000,1292,ALD Automotive Polska Sp. z o.o,Automotive And Vehicles,,PL,17482943,-1
nobasiccars.com,1689563489468,0,0,0,0,,,,,0,0
carleasepolska.pl,1562108400000,1689404400000,0,1564230000000,0,Car Lease Polska - wynajem dlugoterminowy samochodow,Unknown,,PL,24145549,-1
carleasepolska.pl,1562108400000,1689404400000,0,1616070000000,252,Car Lease Polska - wynajem dlugoterminowy samochodow,Unknown,,PL,24145549,-1
carleasepolska.pl,1562108400000,1689404400000,0,1631622000000,353,Car Lease Polska - wynajem dlugoterminowy samochodow,Unknown,,PL,24145549,-1
carleasepolska.pl,1562108400000,1689404400000,0,1683462000000,379,Car Lease Polska - wynajem dlugoterminowy samochodow,Unknown,,PL,24145549,-1
carleasepolska.pl,1562108400000,1689404400000,0,1688646000000,279,Car Lease Polska - wynajem dlugoterminowy samochodow,Unknown,,PL,24145549,-1
carleasepolska.pl,1562108400000,1689404400000,0,1689404400000,379,Car Lease Polska - wynajem dlugoterminowy samochodow,Unknown,,PL,24145549,-1
car4vip.com.pl,1566774000000,1688454000000,0,1568802000000,0,,,,,82279258,0
car4vip.com.pl,1566774000000,1688454000000,0,1688454000000,0,,,,,82279258,0
al-umrah.com,1462489200000,1664694000000,0,1465859280000,0,,,,,42277261,0
al-umrah.com,1462489200000,1664694000000,0,1664694000000,0,,,,,42277261,0
wypozyczalniasamochodowwwarszawie.pl,1422399600000,1689404400000,0,1426849680000,0,,,,,22550148,0
wypozyczalniasamochodowwwarszawie.pl,1422399600000,1689404400000,0,1689404400000,0,,,,,22550148,0
bookonlineflights.com,1389481200000,1675238400000,0,1394243820000,0,,Travel,,,58100199,-1
bookonlineflights.com,1389481200000,1675238400000,0,1675238400000,0,,Travel,,,58100199,-1
dreamworldtravel.co.uk,1409868000000,1689318000000,0,1414525500000,21,Dream World Travels Ltd,Travel,Greater London,GB,6175799,-1
dreamworldtravel.co.uk,1409868000000,1689318000000,0,1570045500000,75,Dream World Travels Ltd,Travel,Greater London,GB,6175799,-1
dreamworldtravel.co.uk,1409868000000,1689318000000,0,1632253500000,172,Dream World Travels Ltd,Travel,Greater London,GB,6175799,-1
dreamworldtravel.co.uk,1409868000000,1689318000000,0,1663357500000,151,Dream World Travels Ltd,Travel,Greater London,GB,6175799,-1
