Domain	SubDomain	Url	FirstIndexed	LastIndexed	CompanyName	Vertical	State	Country	ARank	QRank	Name	Parent	FirstDetected	LastDetected	IsLive	IsPremium	Link	Tag	Category0	Category1	Category2	Category3	Category4	Category5	Category6	Category7	Category8	Category9
car4vip.com.pl			1566774000000	1688454000000					82279258	0	Home PL		1566774000000	1688454000000	1	no	https://home.pl	hosting	Polish hosting									
car4vip.com.pl			1566774000000	1688454000000					82279258	0	SPF		1566774000000	1688454000000	1	no	http://www.open-spf.org/	mx										
car4vip.com.pl			1566774000000	1688454000000					82279258	0	Home.pl DNS		1567551600000	1688454000000	1	no	https://home.pl	ns										
nobasiccars.com	nobasiccars.com		1689563489468	0					0	0	nginx		1689563489468	1689563489468	1	no	http://nginx.net/	Web Server										
wypozyczalniasamochodowwwarszawie.pl			1422399600000	1689404400000					22550148	0	Google Plus Embedded Posts		1422399600000	1458601200000	0	no	http://developers.google.com/+/web/embedded-post/	widgets										
wypozyczalniasamochodowwwarszawie.pl			1422399600000	1689404400000					22550148	0	Really Simple Discovery		1422658800000	1458601200000	0	no	http://cyber.law.harvard.edu/blogs/gems/tech/rsd.html	feeds										
wypozyczalniasamochodowwwarszawie.pl			1422399600000	1689404400000					22550148	0	RSS		1422658800000	1458601200000	0	no	http://en.wikipedia.org/wiki/RSS_(file_format)	feeds										
wypozyczalniasamochodowwwarszawie.pl			1422399600000	1689404400000					22550148	0	Facebook Like Box		1422658800000	1458601200000	0	no	http://developers.facebook.com/docs/reference/plugins/like-box	widgets										
wypozyczalniasamochodowwwarszawie.pl			1422399600000	1689404400000					22550148	0	nginx		1422658800000	1551567600000	0	no	http://nginx.net/	Web Server										
wypozyczalniasamochodowwwarszawie.pl			1422399600000	1689404400000					22550148	0	Live Writer Support		1422658800000	1458601200000	0	no	http://windowslivewriter.spaces.live.com	feeds										
wypozyczalniasamochodowwwarszawie.pl			1422399600000	1689404400000					22550148	0	Google API		1422658800000	1458601200000	0	no	http://code.google.com	javascript										
wypozyczalniasamochodowwwarszawie.pl			1422399600000	1689404400000					22550148	0	WordPress		1422658800000	1689231600000	0	no	http://wordpress.org	cms	Open Source	Blog								
wypozyczalniasamochodowwwarszawie.pl			1422399600000	1689404400000					22550148	0	Google Analytics		1422658800000	1683097200000	0	no	http://google.com/analytics	analytics	Application Performance	Audience Measurement	Visitor Count Tracking							
wypozyczalniasamochodowwwarszawie.pl			1422399600000	1689404400000					22550148	0	Google Maps		1422658800000	1674892800000	0	no	http://www.google.com/apis/maps/	mapping	Maps									
wypozyczalniasamochodowwwarszawie.pl			1422399600000	1689404400000					22550148	0	Viewport Meta		1422658800000	1689231600000	0	no	http://developers.google.com/speed/docs/insights/ConfigureViewport	mobile										
wypozyczalniasamochodowwwarszawie.pl			1422399600000	1689404400000					22550148	0	SuperFish Menu		1422658800000	1424905200000	0	no	http://users.tpg.com.au/j_birch/plugins/superfish/	javascript										
wypozyczalniasamochodowwwarszawie.pl			1422399600000	1689404400000					22550148	0	WordPress 4.0	WordPress	1422658800000	1434927600000	0	no	http://codex.wordpress.org/Version_4.0	cms										
wypozyczalniasamochodowwwarszawie.pl			1422399600000	1689404400000					22550148	0	PHP		1424905200000	1635836400000	0	no	http://www.php.net	framework										
wypozyczalniasamochodowwwarszawie.pl			1422399600000	1689404400000					22550148	0	jQuery	jQuery	1427238000000	1689231600000	0	no	http://jquery.com	javascript	JavaScript Library									
